,makespans,average_makespan,time,average_completions,average_slowdowns,reward
0,"[796, 798, 809, 798, 796, 800, 798, 799, 800, 794, 800, 798]",798.8333333333334,185.87621212005615,114.55426834768254,3.1860040871965665,"[-0.17544633017412387, -0.17580964970257765, -0.1778021978021978, -0.17544633017412387, -0.17580964970257765, -0.17617264919621228, -0.17580964970257765, -0.1759911894273128, -0.17508269018743108, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765]"
1,"[800, 800, 801, 806, 804, 806, 808, 798, 796, 796, 798, 800]",801.0833333333334,180.25319266319275,113.8303100143492,3.180226844825747,"[-0.17617264919621228, -0.17617264919621228, -0.1763540290620872, -0.17725973169122497, -0.1768976897689769, -0.17725973169122497, -0.1776214552648934, -0.17580964970257765, -0.17544633017412387, -0.17544633017412387, -0.17580964970257765, -0.17617264919621228]"
2,"[805, 805, 798, 800, 800, 798, 801, 799, 800, 806, 800, 800]",801.0,176.16914534568787,113.79558779212697,3.1606882522867408,"[-0.177078750549934, -0.177078750549934, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765, -0.1763540290620872, -0.1759911894273128, -0.17617264919621228, -0.17725973169122497, -0.17617264919621228, -0.17617264919621228]"
3,"[798, 799, 798, 795, 798, 808, 803, 800, 798, 795, 799, 800]",799.25,232.0755968093872,113.66017112546031,3.152848504842732,"[-0.17580964970257765, -0.1759911894273128, -0.17580964970257765, -0.17526455026455026, -0.17580964970257765, -0.1776214552648934, -0.17671654929577466, -0.17617264919621228, -0.17580964970257765, -0.17526455026455026, -0.1759911894273128, -0.17617264919621228]"
4,"[805, 805, 799, 796, 798, 803, 799, 800, 800, 800, 795, 794]",799.5,181.1124165058136,113.90149056990477,3.1628040868457465,"[-0.177078750549934, -0.177078750549934, -0.1759911894273128, -0.17544633017412387, -0.17580964970257765, -0.17671654929577466, -0.1759911894273128, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17526455026455026, -0.17508269018743108]"
5,"[799, 796, 795, 800, 801, 796, 800, 795, 803, 800, 800, 805]",799.1666666666666,175.71941542625427,113.5820461254603,3.15418733574103,"[-0.1759911894273128, -0.17544633017412387, -0.17526455026455026, -0.17617264919621228, -0.1763540290620872, -0.17544633017412387, -0.17526455026455026, -0.17617264919621228, -0.17671654929577466, -0.17617264919621228, -0.17617264919621228, -0.177078750549934]"
6,"[799, 795, 798, 794, 805, 796, 795, 799, 798, 795, 804, 796]",797.8333333333334,180.80923342704773,113.27822668101585,3.1396155151567284,"[-0.1759911894273128, -0.17526455026455026, -0.17580964970257765, -0.17508269018743108, -0.177078750549934, -0.17544633017412387, -0.17526455026455026, -0.1759911894273128, -0.17580964970257765, -0.17526455026455026, -0.1768976897689769, -0.17544633017412387]"
7,"[795, 798, 799, 798, 798, 799, 795, 794, 796, 794, 795, 805]",797.1666666666666,182.8910210132599,112.50218501434921,3.147341799959032,"[-0.17526455026455026, -0.1759911894273128, -0.17580964970257765, -0.17580964970257765, -0.17580964970257765, -0.1759911894273128, -0.17526455026455026, -0.17544633017412387, -0.17508269018743108, -0.17508269018743108, -0.17526455026455026, -0.177078750549934]"
8,"[805, 794, 794, 795, 798, 795, 798, 795, 799, 800, 796, 798]",797.25,180.0072717666626,112.78517112546034,3.125752382240224,"[-0.177078750549934, -0.17508269018743108, -0.17508269018743108, -0.17526455026455026, -0.17580964970257765, -0.17526455026455026, -0.17580964970257765, -0.17526455026455026, -0.1759911894273128, -0.17617264919621228, -0.17544633017412387, -0.17580964970257765]"
9,"[797, 797, 797, 794, 795, 794, 794, 797, 796, 795, 801, 799]",796.3333333333334,196.44087624549866,113.05774056990475,3.1073439774219227,"[-0.17562802996914942, -0.17562802996914942, -0.17562802996914942, -0.17526455026455026, -0.17508269018743108, -0.17508269018743108, -0.17508269018743108, -0.17562802996914942, -0.17544633017412387, -0.17526455026455026, -0.1763540290620872, -0.1759911894273128]"
10,"[799, 794, 797, 795, 794, 794, 795, 795, 795, 796, 797, 799]",795.8333333333334,180.57333159446716,112.58551834768254,3.098742796761947,"[-0.1759911894273128, -0.17508269018743108, -0.17562802996914942, -0.17526455026455026, -0.17508269018743108, -0.17508269018743108, -0.17526455026455026, -0.17526455026455026, -0.17526455026455026, -0.17544633017412387, -0.17562802996914942, -0.1759911894273128]"
11,"[796, 798, 800, 795, 805, 794, 798, 796, 795, 794, 798, 795]",797.0,174.3631236553192,112.795587792127,3.105525595297824,"[-0.17544633017412387, -0.17580964970257765, -0.17617264919621228, -0.17526455026455026, -0.177078750549934, -0.17508269018743108, -0.17580964970257765, -0.17544633017412387, -0.17526455026455026, -0.17508269018743108, -0.17580964970257765, -0.17526455026455026]"
