,makespans,average_makespan,time,average_completions,average_slowdowns,reward
15,"[800, 799, 802, 800, 798, 806, 798, 805, 799, 795, 799, 805]",800.5,1029.056804895401,114.88412945879367,3.212793364233919,"[-0.17617264919621228, -0.1759911894273128, -0.17617264919621228, -0.17653532907770195, -0.17580964970257765, -0.17725973169122497, -0.17580964970257765, -0.177078750549934, -0.1759911894273128, -0.17526455026455026, -0.1759911894273128, -0.177078750549934]"
16,"[805, 800, 805, 805, 799, 799, 800, 798, 805, 798, 796, 800]",800.8333333333334,1022.4243674278259,114.83725445879365,3.2325980001456736,"[-0.177078750549934, -0.17617264919621228, -0.177078750549934, -0.177078750549934, -0.1759911894273128, -0.1759911894273128, -0.17617264919621228, -0.17580964970257765, -0.177078750549934, -0.17580964970257765, -0.17544633017412387, -0.17617264919621228]"
17,"[801, 794, 799, 798, 798, 798, 799, 798, 804, 800, 810, 794]",799.4166666666666,1021.7860057353973,114.6584350143492,3.203578469811243,"[-0.1763540290620872, -0.17508269018743108, -0.1759911894273128, -0.17580964970257765, -0.17580964970257765, -0.17580964970257765, -0.1759911894273128, -0.17580964970257765, -0.1768976897689769, -0.17617264919621228, -0.17798286090969018, -0.17508269018743108]"
18,"[800, 798, 803, 802, 800, 800, 800, 800, 800, 800, 800, 805]",800.6666666666666,1026.433837890625,114.52649056990477,3.19632926653845,"[-0.17617264919621228, -0.17580964970257765, -0.17671654929577466, -0.17653532907770195, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.177078750549934]"
19,"[800, 796, 799, 800, 800, 810, 800, 798, 794, 799, 800, 799]",799.5833333333334,1024.6879889965057,114.76954612546034,3.237784749140133,"[-0.17617264919621228, -0.17544633017412387, -0.1759911894273128, -0.17617264919621228, -0.17617264919621228, -0.17798286090969018, -0.17617264919621228, -0.17580964970257765, -0.17508269018743108, -0.1759911894273128, -0.17617264919621228, -0.1759911894273128]"
20,"[798, 798, 799, 795, 800, 798, 801, 805, 800, 801, 798, 795]",799.0,1019.6530256271362,114.40322668101588,3.197343946659725,"[-0.17580964970257765, -0.17580964970257765, -0.1759911894273128, -0.17526455026455026, -0.17617264919621228, -0.17580964970257765, -0.1763540290620872, -0.177078750549934, -0.17617264919621228, -0.1763540290620872, -0.17580964970257765, -0.17526455026455026]"
21,"[798, 798, 800, 800, 804, 803, 800, 798, 796, 803, 796, 796]",799.3333333333334,1035.4389641284943,114.39628223657145,3.217737126849485,"[-0.17580964970257765, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.1768976897689769, -0.17671654929577466, -0.17617264919621228, -0.17580964970257765, -0.17544633017412387, -0.17671654929577466, -0.17544633017412387, -0.17544633017412387]"
22,"[800, 809, 798, 798, 800, 800, 798, 800, 800, 798, 800, 798]",799.9166666666666,1032.3650569915771,114.79037945879365,3.2168518698261312,"[-0.17617264919621228, -0.1778021978021978, -0.17580964970257765, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765, -0.17617264919621228, -0.17580964970257765]"
23,"[799, 800, 795, 800, 801, 801, 795, 796, 798, 800, 800, 800]",798.75,1043.4976658821106,114.71399056990477,3.2292476706505213,"[-0.1759911894273128, -0.17617264919621228, -0.17526455026455026, -0.17617264919621228, -0.1763540290620872, -0.1763540290620872, -0.17526455026455026, -0.17544633017412387, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228]"
24,"[798, 799, 805, 800, 798, 800, 800, 800, 800, 800, 799, 796]",799.5833333333334,1053.9936356544495,114.983087792127,3.2347397070636386,"[-0.17580964970257765, -0.1759911894273128, -0.177078750549934, -0.17617264919621228, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.1759911894273128, -0.17544633017412387]"
25,"[802, 801, 801, 799, 799, 800, 800, 800, 798, 801, 800, 799]",800.0,1056.7159585952759,114.65669890323808,3.2101666034861673,"[-0.17653532907770195, -0.1763540290620872, -0.1763540290620872, -0.1759911894273128, -0.1759911894273128, -0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765, -0.1763540290620872, -0.17617264919621228, -0.1759911894273128]"
26,"[800, 800, 800, 808, 795, 797, 806, 800, 798, 798, 798, 799]",799.9166666666666,1054.6499037742615,114.95531001434922,3.1951911626192584,"[-0.17617264919621228, -0.17617264919621228, -0.17617264919621228, -0.1776214552648934, -0.17526455026455026, -0.17562802996914942, -0.17725973169122497, -0.17617264919621228, -0.17580964970257765, -0.17580964970257765, -0.17580964970257765, -0.1759911894273128]"
27,"[798, 798, 800, 810, 798, 796, 795, 798, 800, 800, 798, 805]",799.6666666666666,1050.5331947803497,115.05600445879367,3.2382379181597956,"[-0.17580964970257765, -0.17580964970257765, -0.17617264919621228, -0.17798286090969018, -0.17580964970257765, -0.17544633017412387, -0.17526455026455026, -0.17580964970257765, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765, -0.177078750549934]"
28,"[800, 794, 799, 802, 798, 798, 800, 810, 802, 800, 800, 799]",800.1666666666666,1042.5752935409546,114.67232390323812,3.2317010647503195,"[-0.17617264919621228, -0.17508269018743108, -0.1759911894273128, -0.17653532907770195, -0.17580964970257765, -0.17580964970257765, -0.17617264919621228, -0.17798286090969018, -0.17653532907770195, -0.17617264919621228, -0.17617264919621228, -0.1759911894273128]"
29,"[795, 805, 798, 800, 799, 799, 796, 794, 799, 795, 799, 798]",798.0833333333334,1035.4545352458954,114.68274056990477,3.216411088569471,"[-0.17526455026455026, -0.177078750549934, -0.17580964970257765, -0.17617264919621228, -0.1759911894273128, -0.1759911894273128, -0.17544633017412387, -0.17508269018743108, -0.1759911894273128, -0.17526455026455026, -0.1759911894273128, -0.17580964970257765]"
30,"[798, 799, 796, 798, 798, 799, 798, 796, 793, 796, 800, 800]",797.5833333333334,1040.800786972046,115.07857390323811,3.2007112319609536,"[-0.17580964970257765, -0.1759911894273128, -0.17544633017412387, -0.17580964970257765, -0.17580964970257765, -0.1759911894273128, -0.17580964970257765, -0.17544633017412387, -0.1749007498897221, -0.17544633017412387, -0.17617264919621228, -0.17617264919621228]"
31,"[799, 798, 799, 798, 796, 800, 800, 799, 798, 801, 799, 804]",799.25,1037.2276902198792,115.44662945879367,3.196155011069061,"[-0.1759911894273128, -0.17580964970257765, -0.1759911894273128, -0.17580964970257765, -0.17544633017412387, -0.17617264919621228, -0.17617264919621228, -0.1759911894273128, -0.17580964970257765, -0.1763540290620872, -0.1759911894273128, -0.1768976897689769]"
32,"[798, 796, 805, 795, 798, 799, 800, 798, 798, 798, 796, 800]",798.4166666666666,1039.8210713863373,115.04906001434921,3.239234211726501,"[-0.17580964970257765, -0.17544633017412387, -0.177078750549934, -0.17526455026455026, -0.17580964970257765, -0.1759911894273128, -0.17617264919621228, -0.17580964970257765, -0.17580964970257765, -0.17580964970257765, -0.17544633017412387, -0.17617264919621228]"
33,"[798, 795, 794, 794, 795, 800, 798, 798, 796, 795, 798, 798]",796.5833333333334,1055.5518622398376,115.63586556990477,3.25964529812798,"[-0.17580964970257765, -0.17526455026455026, -0.17508269018743108, -0.17508269018743108, -0.17526455026455026, -0.17617264919621228, -0.17580964970257765, -0.17580964970257765, -0.17544633017412387, -0.17526455026455026, -0.17580964970257765, -0.17580964970257765]"
34,"[798, 797, 795, 798, 795, 797, 799, 794, 800, 800, 798, 798]",797.4166666666666,1058.8682403564453,115.89628223657144,3.2530333570131087,"[-0.17580964970257765, -0.17562802996914942, -0.17526455026455026, -0.17580964970257765, -0.17526455026455026, -0.17562802996914942, -0.1759911894273128, -0.17508269018743108, -0.17617264919621228, -0.17617264919621228, -0.17580964970257765, -0.17580964970257765]"
35,"[794, 798, 797, 794, 795, 798, 798, 797, 798, 800, 794, 795]",796.5,1053.0423877239227,115.56121279212698,3.23422833072306,"[-0.17508269018743108, -0.17580964970257765, -0.17562802996914942, -0.17508269018743108, -0.17526455026455026, -0.17580964970257765, -0.17580964970257765, -0.17562802996914942, -0.17580964970257765, -0.17617264919621228, -0.17508269018743108, -0.17526455026455026]"
36,"[792, 796, 794, 795, 795, 795, 794, 794, 795, 795, 794, 794]",794.4166666666666,1036.7877144813538,115.83204612546035,3.2415438944233643,"[-0.17471872931833224, -0.17544633017412387, -0.17508269018743108, -0.17526455026455026, -0.17526455026455026, -0.17526455026455026, -0.17508269018743108, -0.17508269018743108, -0.17526455026455026, -0.17526455026455026, -0.17508269018743108, -0.17508269018743108]"
37,"[797, 794, 799, 794, 795, 797, 798, 800, 795, 796, 794, 795]",796.1666666666666,1045.112916469574,116.46399056990477,3.2798086162484235,"[-0.17562802996914942, -0.17508269018743108, -0.1759911894273128, -0.17508269018743108, -0.17526455026455026, -0.17562802996914942, -0.17580964970257765, -0.17617264919621228, -0.17526455026455026, -0.17544633017412387, -0.17508269018743108, -0.17526455026455026]"
38,"[796, 794, 798, 800, 797, 794, 798, 795, 794, 795, 794, 795]",795.8333333333334,1033.4880299568176,116.00392112546034,3.277791559538075,"[-0.17544633017412387, -0.17508269018743108, -0.17580964970257765, -0.17617264919621228, -0.17562802996914942, -0.17508269018743108, -0.17580964970257765, -0.17526455026455026, -0.17508269018743108, -0.17526455026455026, -0.17508269018743108, -0.17526455026455026]"
39,"[795, 797, 795, 795, 793, 793, 796, 795, 799, 794, 795, 793]",795.0,1038.348253250122,116.3876016810159,3.2592166983108997,"[-0.17526455026455026, -0.17562802996914942, -0.17526455026455026, -0.17526455026455026, -0.1749007498897221, -0.1749007498897221, -0.17544633017412387, -0.17526455026455026, -0.1759911894273128, -0.17508269018743108, -0.17526455026455026, -0.1749007498897221]"
40,"[794, 794, 799, 795, 794, 795, 796, 794, 794, 794, 795, 798]",795.1666666666666,1037.29025888443,116.36329612546031,3.2925907395556124,"[-0.17508269018743108, -0.17508269018743108, -0.1759911894273128, -0.17526455026455026, -0.17508269018743108, -0.17526455026455026, -0.17544633017412387, -0.17508269018743108, -0.17508269018743108, -0.17508269018743108, -0.17526455026455026, -0.17580964970257765]"
41,"[795, 794, 794, 795, 795, 794, 795, 795, 795, 794, 795, 792]",794.4166666666666,1037.0280175209045,116.02301834768254,3.275142016153279,"[-0.17526455026455026, -0.17508269018743108, -0.17508269018743108, -0.17526455026455026, -0.17526455026455026, -0.17508269018743108, -0.17526455026455026, -0.17526455026455026, -0.17526455026455026, -0.17508269018743108, -0.17526455026455026, -0.17471872931833224]"
42,"[792, 792, 792, 792, 791, 794, 793, 792, 794, 793, 794, 792]",792.5833333333334,1026.94038271904,116.27128223657145,3.3007934708046034,"[-0.17471872931833224, -0.17471872931833224, -0.17471872931833224, -0.17453662842012357, -0.17471872931833224, -0.17508269018743108, -0.1749007498897221, -0.17471872931833224, -0.17508269018743108, -0.1749007498897221, -0.17508269018743108, -0.17471872931833224]"
43,"[793, 795, 793, 795, 793, 793, 792, 795, 794, 792, 794, 792]",793.4166666666666,1023.4557640552521,115.36156001434921,3.2872871829490085,"[-0.1749007498897221, -0.17526455026455026, -0.1749007498897221, -0.17526455026455026, -0.1749007498897221, -0.1749007498897221, -0.17471872931833224, -0.17526455026455026, -0.17508269018743108, -0.17471872931833224, -0.17508269018743108, -0.17471872931833224]"
44,"[792, 794, 792, 792, 792, 793, 795, 795, 792, 794, 793, 792]",793.0,1032.3013887405396,115.13586556990475,3.2746013259639315,"[-0.17471872931833224, -0.17508269018743108, -0.17471872931833224, -0.17471872931833224, -0.17471872931833224, -0.1749007498897221, -0.17526455026455026, -0.17526455026455026, -0.17471872931833224, -0.17508269018743108, -0.1749007498897221, -0.17471872931833224]"
45,"[792, 792, 792, 792, 792, 794, 792, 794, 793, 792, 793, 792]",792.5,1022.0796692371368,115.2626016810159,3.231623650960452,"[-0.17471872931833224, -0.17471872931833224, -0.17471872931833224, -0.17471872931833224, -0.17471872931833224, -0.17508269018743108, -0.17471872931833224, -0.17508269018743108, -0.1749007498897221, -0.17471872931833224, -0.1749007498897221, -0.17471872931833224]"
46,"[794, 793, 793, 792, 794, 794, 792, 795, 794, 792, 793, 792]",793.1666666666666,1027.1777937412262,115.38239334768254,3.236062816905456,"[-0.17508269018743108, -0.1749007498897221, -0.1749007498897221, -0.17471872931833224, -0.17508269018743108, -0.17508269018743108, -0.17471872931833224, -0.17526455026455026, -0.17508269018743108, -0.17471872931833224, -0.1749007498897221, -0.17471872931833224]"
47,"[794, 792, 793, 794, 793, 794, 792, 794, 794, 792, 794, 794]",793.3333333333334,1020.5343918800354,115.53864334768257,3.2720703267886293,"[-0.17508269018743108, -0.17471872931833224, -0.1749007498897221, -0.17508269018743108, -0.1749007498897221, -0.17508269018743108, -0.17471872931833224, -0.17508269018743108, -0.17508269018743108, -0.17471872931833224, -0.17508269018743108, -0.17508269018743108]"
48,"[793, 794, 793, 794, 794, 792, 795, 793, 795, 795, 793, 792]",793.5833333333334,1018.1244332790375,115.70878223657145,3.262857656453523,"[-0.1749007498897221, -0.17508269018743108, -0.1749007498897221, -0.17508269018743108, -0.17508269018743108, -0.17471872931833224, -0.17526455026455026, -0.1749007498897221, -0.17526455026455026, -0.17526455026455026, -0.1749007498897221, -0.17471872931833224]"
49,"[792, 792, 792, 792, 794, 792, 794, 794, 792, 794, 792, 795]",792.9166666666666,1010.9566996097565,115.52128223657144,3.2717802748340343,"[-0.17471872931833224, -0.17471872931833224, -0.17471872931833224, -0.17471872931833224, -0.17508269018743108, -0.17471872931833224, -0.17508269018743108, -0.17508269018743108, -0.17471872931833224, -0.17508269018743108, -0.17471872931833224, -0.17526455026455026]"
